568,嬲
569,嬶
570,嬾
571,孀
572,孃
573,孔
574,孜
575,孤
576,孩
577,孫
578,孰
579,孵
580,孺
581,対
582,封
583,射
584,尠
585,就
586,屹
587,岐
588,岨
589,岫
590,岬
591,岷
592,岼
593,岾
594,峅
595,峙
596,峡
597,峨
598,峪
599,峭
600,峺
601,峽
602,崎
603,崘
604,崛
605,崢
606,嵋
607,嵎
608,嵯
609,嵶
610,嶂
611,嶇
612,嶋
613,嶝
614,嶢
615,嶬
616,嶮
617,嶼
618,巧
619,帆
620,帖
621,帙
622,帰
623,帳
624,帷
625,帽
626,幀
627,幃
628,幄
629,幅
630,幌
631,幎
632,幔
633,幗
634,幟
635,幡
636,幢
637,幵
638,幼
639,引
640,弘
641,弛
642,弥
643,弦
644,弧
645,弭
646,張
647,弸
648,弾
649,彁
650,彈
651,彌
652,形
653,彩
654,彫
655,彬
656,彰
657,影
658,彷
659,役
660,彼
661,彿
662,往
663,征
664,徂
665,徃
666,径
667,待
668,徇
669,很
670,徊
671,律
672,徐
673,徒
674,徘
675,徠
676,御
677,徨
678,復
679,循
680,忖
681,忙
682,忤
683,快
684,忰
685,忸
686,忻
687,怏
688,怐
689,怖
690,怙
691,怛
692,怜
693,怡
694,怦
695,性
696,怩
697,怪
698,怫
699,怯
700,怺
701,恂
702,恃
703,恆
704,恍
705,恒
706,恟
707,恠
708,恢
709,恤
710,恥
711,恨
712,恪
713,恫
714,恬
715,恰
716,悃
717,悄
718,悋
719,悌
720,悍
721,悒
722,悔
723,悖
724,悗
725,悚
726,悟
727,悦
728,悧
729,悴
730,悵
731,悸
732,悼
733,悽
734,情
735,惆
736,惇
737,惓
738,惘
739,惚
740,惜
741,惟
742,惧
743,惨
744,惶
745,惺
746,惻
747,愀
748,愃
749,愉
750,愕
751,愡
752,愧
753,愴
754,愼
755,愾
756,慄
757,慊
758,慌
759,慎
760,慓
761,慘
762,慚
763,慟
764,慢
765,慣
766,慥
767,慨
768,慱
769,慳
770,慴
771,慵
772,慷
773,憎
774,憔
775,憚
776,憤
777,憧
778,憫
779,憬
780,憮
781,憶
782,憾
783,懈
784,懊
785,懍
786,懦
787,懶
788,懼
789,懾
790,懿
791,戝
792,戡
793,戦
794,戯
795,戰
796,所
797,扎
798,打
799,払
800,扛
801,扞
802,扠
803,扣
804,扨
805,扮
806,扱
807,扶
808,批
809,扼
810,找
811,技
812,抂
813,抃
814,抄
815,抉
816,把
817,抒
818,抓
819,抔
820,投
821,抖
822,抗
823,折
824,抜
825,択
826,披
827,抬
828,抱
829,抵
830,抹
831,抻
832,押
833,抽
834,拂
835,担
836,拆
837,拇
838,拈
839,拉
840,拊
841,拌
842,拍
843,拑
844,拒
845,拓
846,拔
847,拗
848,拘
849,拙
850,招
851,拠
852,拡
853,括
854,拭
855,拮
856,拯
857,拱
858,拵
859,拷
860,拾
861,持
862,挂
863,指
864,按
865,挌
866,挑
867,挟
868,挧
869,挨
870,挫
871,振
872,挺
873,挽
874,挾
875,捉
876,捌
877,捍
878,捕
879,捗
880,捜
881,捧
882,捨
883,捩
884,捫
885,据
886,捲
887,捶
888,捺
889,捻
890,掀
891,掃
892,授
893,掉
894,掎
895,排
896,掖
897,掘
898,掛
899,掟
