19,代,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,弋,519,タイ.ダイ,か（える）.か（わる）.よ.しろ,かえる。かわる。入れかわる。交代する。.よ。時代。時世。人の一生涯。.よよ。代々。何代も続いているさま。.日本しろ。代金。ねだん。あたい。.日本しろ。材料。.日本しろ。田地。田の一区画。,5,2,3,小学校３年生,80,教育漢字常用漢字名前に使える漢字
20,仭,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,刄,351,ジン,はか（る）.ひろ,はかる。高さや深さなどを測る。.ひろ。長さ・高さ・深さの単位。周代の八尺（一説に七尺または四尺）のこと。,5,2,3,-,10,-
21,仮,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,反,703,カ.ケ.カク,かり.か（す）,かり。かりの。本物でない。いつわり。にせ。一時の。.かり。かりに。もし。仮定の意。.か（貸）す。与える。貸し与える。.借りる。借用する。.いとま。ひま。休み。＝暇.いたる。とどく。＝格,6,2,4,小学校５年生,60,教育漢字常用漢字名前に使える漢字
22,仰,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,卬,715,ギョウ.コウ.ゴウ,あお（ぐ）.おお（せ）.あおの（く）.の（く）,あおぐ。見上げる。顔を上げて上を見る。.おおせ。命令。いいつけ。身分が高い人の言葉。.のく。あおのく。あおむく。あおむけになる。.あがめる。うやまう。信仰する。.おっしゃる。「言う」の尊敬語。,6,2,4,-,40,常用漢字名前に使える漢字
23,仲,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,中,497,チュウ,なか,中（なか）。真ん中。.兄弟の二番目。年齢の順に上から「伯・仲・叔・季」または「孟・仲・季」という。.日本なか。人同士のあいだがら。,6,2,4,小学校４年生,70,教育漢字常用漢字名前に使える漢字
24,件,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,牛,81,ケン,くだり.くだん,くだり。くだん。文章などで前に記述した事柄。.分ける。区別する。.物事。事柄。物事を数えることば。,6,2,4,小学校５年生,60,教育漢字常用漢字名前に使える漢字
25,价,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,介,364,カイ,よ（い）,よい。すぐれている。りっぱ。おおきい。.鎧を身につけた兵士。＝介.下僕。使用人。,6,2,4,-,10,-
26,任,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,壬,652,ニン.ジン,まか（す）.まか（せる）,まかす。まかせる。信用して委ねる。自由にさせる。.仕事。役目。.たえる。こらえる。我慢する。.おう。になう。負担。荷物。,6,2,4,小学校５年生,60,教育漢字常用漢字名前に使える漢字
27,伉,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,亢,298,コウ,おご（る）.たぐい.つよ（い）.なら（ぶ）,おごる。おごり高ぶる。.たぐい。相手。配偶者。.つよい。健やか。.ならぶ。対等。匹敵する。.正直なさま。素直なさま。,6,2,4,-,10,-
28,伊,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,尹,716,イ,かれ.これ.ただ,かれ。かの。第三人称。.これ。この。.これ。ただ。語調を整える助詞。.河南省にある川の名。伊水。.日本国名「伊太利（イタリア）」の略。,6,2,4,-,15,人名用漢字名前に使える漢字
29,伍,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,五,87,ゴ,いつ（つ）.くみ,五人を一組とする軍隊の単位。.行列。隊列。.仲間。仲間に入る。.契約書や証書などの文書で数字を表すとき、書き換えを防ぐために「五」の代わりに用いる文字。大字。,6,2,4,-,15,人名用漢字名前に使える漢字
30,伎,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,支,224,キ.ギ,たくみ.わざ,わざ。たくみ。はたらき。腕前。.わざおぎ。芸者。芸人。,6,2,4,-,20,常用漢字名前に使える漢字
31,伏,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,犬,240,フク.ブク,ふ（す）.ふ（せる）.かく（れる）.したが（う）,ふす。ふせる。うつむく。うつぶせになる。.ふす。ふせる。かくれる。身を隠す。待ちぶせする。.したがう。ひれふす。服従する。.陰暦六月の節の名前。猛暑の時期。三伏（さんぷく）。初伏（しょふく）・中伏（ちゅうふく）・末伏（まっぷく）の総称。,6,2,4,-,30,常用漢字名前に使える漢字
32,伐,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,戈,849,バツ.ハツ,う（つ）.き（る）.ほこ（る）,うつ。敵を討つ。敵を殺す。攻める。.うつ。楽器をたたいてならす。.きる。木を切る。木を切り倒す。.ほこる。自慢する。手柄をひけらかす。.いさお。手柄。功績。,6,2,4,-,30,常用漢字名前に使える漢字
33,休,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,木,909,キュウ.ク,やす（まる）.やす（む）.やす（める）.いこ（う）.さいわ（い）.や（める）.よ（い）,やすむ。やすまる。やすめる。いこう。休息する。.さいわい。よろこび。めでたい。.やめる。やむ。仕事などをやめる。.「やめよ」「なかれ」と読み、「～するな」の意。禁止を表す。.よい。すばらしい。りっぱな。.いたむ。あわれむ。なげく。,6,2,4,小学校１年生,100,教育漢字常用漢字名前に使える漢字
34,伜,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,卆,215,サイ.ソツ,せがれ.たす（け）.にわ（か）,たすけ。そえ。.にわか。急に。突然。.日本せがれ。自分の息子をへりくだっていう語。,6,2,4,-,10,-
35,伝,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,云,309,デン.テン,つた（う）.つた（える）.つた（わる）.つて,つたう。つたえる。つたわる。授ける。受け継ぐ。言いつたえる。語り継ぐ。広める。広がる。広くつたえる。.言いつたえ。人の一生を書き記したもの。伝記（でんき）。.宿場。または宿場から人やものを送り届ける馬車。.古典、経書などの注釈。.日本つて。ことづて。ひとづて。事をなすときにたよりにするもの。,6,2,4,小学校４年生,70,教育漢字常用漢字名前に使える漢字
36,伯,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,白,156,ハク.ハ,おさ.かしら.はたがしら,おさ。かしら。最年長の人。最上位の人。.兄弟の一番上。年齢の順に上から「伯・仲・叔・季」という。.おじ。父の兄（日本では母の兄のこともいう）。また、父（母）の弟には「叔」を用いる。.五等級の爵位（公・侯・伯・子・男）の三番目。.一芸にすぐれた者。.はたがしら。諸侯のおさ。＝覇,7,2,5,-,25,常用漢字名前に使える漢字
37,估,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,古,392,コ,あきな（う）.あたい.う（る）,あきなう。うる。また、あきんど。商人。商売を売り買いする人。.あたい。値段。値段をつける。値段をみつもる。,7,2,5,-,10,-
38,伴,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,半,792,ハン.バン,ともな（う）.とも,ともなう。連れ立つ。一緒に行く。.とも。行動をともにする人。仲間。,7,2,5,-,30,常用漢字名前に使える漢字
39,伶,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,令,782,リョウ.レイ,さか（しい）.わざおぎ,さかしい。かしこい。頭がよい。利口。.わざおぎ。音楽を演奏する人や踊りを踊る人。.召し使い。こもの。,7,2,5,-,15,人名用漢字名前に使える漢字
40,伸,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,申,142,シン,の（ばす）.の（びる）.の（べる）.の（す）.の（る）,のばす。のびる。真っ直ぐにする。長くする。.述べる。申す。.無実の罪の疑いを晴らす。例：伸冤（しんえん）.のす。のばし広げる。勢力などが拡大する。.のる。背のび。体を長くのばす。,7,2,5,-,30,常用漢字名前に使える漢字
41,伺,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,司,503,シ,うかが（う）,うかがう。様子をさぐる。のぞき見る。.待つ。機会をうかがい待つ。.たずねる。訪問する。,7,2,5,-,40,常用漢字名前に使える漢字
42,似,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,以,349,ジ.シ,に（る）.ごと（し）,にる。にせる。姿や形などが類似（るいじ）している。.ごとし。「～のようだ」「～にちかい」「～のように見える」の意。.継ぐ。継承。＝嗣,7,2,5,小学校５年生,60,教育漢字常用漢字名前に使える漢字
43,伽,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,加,532,カ.ガ.キャ,とぎ,梵語（ボンゴ）の音訳に用いる字。.日本とぎ。人の相手になって退屈を慰める。例：御伽話（おとぎばなし）.日本とぎ。病気の人の看病。,7,2,5,-,15,人名用漢字名前に使える漢字
44,佃,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,田,381,テン.デン,か（り）.たがや（す）.つくだ,かり。狩をする。.たがやす。田畑を耕す。.日本つくだ。作り田。山野を切りひらいて作った田畑。,7,2,5,-,15,人名用漢字名前に使える漢字
45,但,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,旦,395,タン.ダン,ただ（し）.ただ,ただし。しかし。条件や例外を付け加える意をあらわす。.「ただ～のみ」と読み、限定の意を表す。,7,2,5,-,25,常用漢字名前に使える漢字
46,位,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,立,407,イ,くらい,くらい。位置（いち）。.くらい。身分。階級。地位（ちい）。.くらい。方角。.くらいする。正しい位置にいる。あるべき所にある。.人に対しての敬語。例：各位（かくい）.日本くらい。人としての重み。品格。品位（ひんい）。.日本くらい。ほど。ばかり。だいたいの程度・数量・範囲などを表すことば。,7,2,5,小学校４年生,70,教育漢字常用漢字名前に使える漢字
47,住,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,主,38,ジュウ.チュウ,す（まう）.す（む）.とど（まる）,すむ。すまう。ある一定の場所にとどまり生活する。.とどまる。とどめる。一定の場所から動かないでいる。.すまい。住居（じゅうきょ）。.やむ。やめる。停止する。中止する。,7,2,5,小学校３年生,80,教育漢字常用漢字名前に使える漢字
48,佐,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,左,834,サ,すけ.たす（ける）,たすける。手助けをする。力を貸す。補佐する。.すすめる。酒をすすめることを佐酒（さしゅ）という。.日本すけ。次官。衛門府・兵衛府などの次官。,7,2,5,小学校４年生,70,教育漢字常用漢字名前に使える漢字
49,佑,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,右,44,ウ.ユウ,たす（け）.たす（ける）,たすけ。たすける。かばう。かばってたすける。,7,2,5,-,15,人名用漢字名前に使える漢字
50,体,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,本,415,タイ.テイ,からだ,からだ。全身。.かたち。外からみたすがた。ありさま。.身に付ける。自分のものとする。.本性。もちまえ。本体（ほんたい）。,7,2,5,小学校２年生,90,教育漢字常用漢字名前に使える漢字
51,何,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,可,242,カ,なに.なん.いず（く）.いず（れ）,なに。なん。なんの。疑問・反語の意をあらわす。.なんぞ。どうして。理由・原因について問う。.いずれ。場所・時間について問う。またはいくつかの中から選択する場合、二つのうちのいずれかを選択する場合などに用いる。.いずく。場所について問う。.いかん。様子・状態・程度などについて問う。.いかん。いかんせん。手段・方法について問う。,7,2,5,小学校２年生,90,教育漢字常用漢字名前に使える漢字
52,佗,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,它,488,イ.タ,にな（う）.ほか.わび.わび（しい）.わ（びる）,になう。せおう。負う。.ほか。べつの。＝他.引く。引きずる。.日本わび。閑寂な趣。茶道や俳句における理想理念。「侘」の誤用。.日本わびしい。ものさびしい。「侘」の誤用。.日本わびる。さびしい。つらい。相手に謝罪をする。「侘」の誤用。,7,2,5,-,10,-
